value,corpora,blended_skill_talk/f1,empathetic_dialogues/f1,wizard_of_internet/f1,wizard_of_wikipedia/f1,model
0.12283855862915516,CC,0.12194953113794327,0.11072365939617157,0.13973049819469452,0.11895054578781128,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12699611485004425,CC,0.12672600150108337,0.11481288820505142,0.1414634734392166,0.12498209625482559,350M
0.12188402377068996,CC,0.13018779456615448,0.10871291160583496,0.12991590797901154,0.11871948093175888,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12412088178098202,CC,0.12585368752479553,0.10816073417663574,0.14248451590538025,0.11998458951711655,350M
0.1282657291740179,CC,0.133914977312088,0.11514431238174438,0.14383313059806824,0.12017049640417099,350M
0.12521743960678577,CC,0.12693752348423004,0.11140749603509903,0.13799944519996643,0.1245252937078476,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12060335837304592,CC,0.12367399781942368,0.11389114707708359,0.1313014179468155,0.11354687064886093,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1198149137198925,CC,0.10802791267633438,0.10502114146947861,0.141293466091156,0.12491713464260101,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12293929792940617,CC,0.1219538077712059,0.11350531876087189,0.13502924144268036,0.12126882374286652,350M
0.12619031220674515,CC,0.12686248123645782,0.11080312728881836,0.13699756562709808,0.13009807467460632,350M
0.12211976945400238,CC,0.12227438390254974,0.11193788051605225,0.14016243815422058,0.11410437524318695,350M
0.12434987351298332,CC,0.1314171999692917,0.10667555034160614,0.1384752094745636,0.12083153426647186,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12174095585942268,CC,0.12041030824184418,0.1022195965051651,0.13866791129112244,0.12566600739955902,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12403630837798119,Git.,0.12848064303398132,0.10258783400058746,0.13686209917068481,0.12821465730667114,350M
0.12828972004354,Git.,0.12447889894247055,0.11374104022979736,0.1391734629869461,0.13576547801494598,350M
0.12724066339433193,Git.,0.12577739357948303,0.11069562286138535,0.14040356874465942,0.13208606839179993,350M
0.12180906720459461,Git.,0.12394549697637558,0.10214053094387054,0.13921420276165009,0.12193603813648224,350M
0.12724271416664124,Git.,0.12992824614048004,0.10860276222229004,0.1433313935995102,0.12710845470428467,350M
0.12758782133460045,Git.,0.13579623401165009,0.11540913581848145,0.13400480151176453,0.12514111399650574,350M
0.1225558202713728,Git.,0.12381289154291153,0.10325263440608978,0.14201322197914124,0.12114453315734863,350M
0.12274204939603806,Git.,0.12762442231178284,0.10277730226516724,0.13485096395015717,0.12571550905704498,350M
0.12731083296239376,Git.,0.12570059299468994,0.11647244542837143,0.13584581017494202,0.13122448325157166,350M
0.1261349804699421,Git.,0.12860091030597687,0.10568569600582123,0.14430169761180878,0.1259516179561615,350M
0.1266787275671959,Git.,0.1319390833377838,0.10544450581073761,0.14191053807735443,0.12742078304290771,350M
0.12497606873512268,Git.,0.12550988793373108,0.1061720997095108,0.14313332736492157,0.12508895993232727,350M
0.13210860267281532,Git.,0.1332758516073227,0.11424112319946289,0.14527219533920288,0.13564524054527283,350M
0.12159397080540657,Git.,0.11604756116867065,0.1057966947555542,0.13859502971172333,0.1259365975856781,350M
0.12326107919216156,Git.,0.12992747128009796,0.10299338400363922,0.13423679769039154,0.12588666379451752,350M
0.13049470074474812,Git.,0.13889668881893158,0.1057867780327797,0.1380109339952469,0.1392844021320343,350M
0.12658189609646797,Git.,0.13606266677379608,0.10325716435909271,0.13733819127082825,0.12966956198215485,350M
0.12514557130634785,Git.,0.1290796995162964,0.10651274025440216,0.14115378260612488,0.12383606284856796,350M
0.12608060240745544,Git.,0.13210976123809814,0.10868706554174423,0.13933618366718292,0.12418939918279648,350M
0.12764921225607395,Git.,0.1343766748905182,0.11108652502298355,0.14011543989181519,0.12501820921897888,350M
0.12733064219355583,Git.,0.13259240984916687,0.10932408273220062,0.13771820068359375,0.12968787550926208,350M
0.12876717746257782,Git.,0.12891659140586853,0.1117820143699646,0.13446176052093506,0.1399083435535431,350M
0.12754454091191292,Git.,0.1274445354938507,0.10782705247402191,0.14215371012687683,0.13275286555290222,350M
0.1274118311703205,Git.,0.12816591560840607,0.11134923994541168,0.137351393699646,0.1327807754278183,350M
0.12431853450834751,Git.,0.129453644156456,0.1079644188284874,0.13563808798789978,0.12421798706054688,350M
0.1243886798620224,Git.,0.12920987606048584,0.10820607841014862,0.13657929003238678,0.12355947494506836,350M
0.12764350324869156,Git.,0.1315678060054779,0.10460162162780762,0.1453361064195633,0.12906847894191742,350M
0.12375758960843086,Git.,0.12567830085754395,0.10924912989139557,0.13757383823394775,0.12252908945083618,350M
0.1275658905506134,Git.,0.13071727752685547,0.11218811571598053,0.14081837236881256,0.12653979659080505,350M
0.12686996161937714,Git.,0.13183355331420898,0.11173659563064575,0.13935162127017975,0.12455807626247406,350M
0.12629912048578262,Git.,0.1341497004032135,0.10559995472431183,0.13887923955917358,0.12656758725643158,350M
0.12508557736873627,Git.,0.12442916631698608,0.10969828069210052,0.1417294144630432,0.12448544800281525,350M
0.12642865628004074,Git.,0.1299939900636673,0.10881917178630829,0.13733868300914764,0.12956278026103973,350M
0.12506064027547836,Git.,0.12417145073413849,0.10473047196865082,0.14408177137374878,0.12725886702537537,350M
0.12597598508000374,Git.,0.13738217949867249,0.10732197761535645,0.13163164258003235,0.12756814062595367,350M
0.12939492240548134,Git.,0.13039761781692505,0.1092686653137207,0.14551755785942078,0.13239584863185883,350M
0.1265136320143938,Git.,0.1299704760313034,0.10925600677728653,0.13799948990345,0.12882855534553528,350M
0.12378299795091152,Git.,0.12292323261499405,0.10606561601161957,0.13738134503364563,0.12876179814338684,350M
0.12546530552208424,Git.,0.1328689157962799,0.10252217203378677,0.13559411466121674,0.13087601959705353,350M
0.12989729642868042,Git.,0.13304300606250763,0.11280272901058197,0.14322718977928162,0.13051626086235046,350M
0.1241876445710659,Git.,0.12861989438533783,0.102678582072258,0.1429324448108673,0.12251965701580048,350M
0.12375756911933422,Git.,0.11869944632053375,0.10967592149972916,0.13670413196086884,0.12995077669620514,350M
0.12350610829889774,Git.,0.12685813009738922,0.10003580898046494,0.13853779435157776,0.12859269976615906,350M
0.12432015128433704,Git.,0.12276139110326767,0.10594160854816437,0.14425882697105408,0.12431877851486206,350M
0.12453851476311684,Git.,0.12539784610271454,0.10243183374404907,0.1387735903263092,0.13155078887939453,350M
0.12626784667372704,Git.,0.12822148203849792,0.10961823165416718,0.13994359970092773,0.1272880733013153,350M
0.12784679047763348,Git.,0.1366845667362213,0.10979745537042618,0.1362067610025406,0.12869837880134583,350M
0.12351527623832226,Git.,0.11929410696029663,0.10868219286203384,0.1414521336555481,0.12463267147541046,350M
0.12446140311658382,Git.,0.13076463341712952,0.10321863740682602,0.13952025771141052,0.12434208393096924,350M
0.12357774190604687,Git.,0.1256752908229828,0.10848500579595566,0.13977521657943726,0.12037545442581177,350M
0.13049518875777721,Git.,0.13122247159481049,0.11507924646139145,0.13893283903598785,0.13674619793891907,350M
0.12698441185057163,Git.,0.127114400267601,0.11508215963840485,0.1417226344347,0.12401845306158066,350M
0.12731932662427425,Git.,0.13269373774528503,0.10334482043981552,0.13737159967422485,0.1358671486377716,350M
0.12134974263608456,Git.,0.11833693087100983,0.11263813823461533,0.13383829593658447,0.1205856055021286,350M
0.12295125611126423,Git.,0.12320679426193237,0.10672231763601303,0.13545554876327515,0.12642036378383636,350M
0.12657151743769646,Git.,0.12455914914608002,0.1091124564409256,0.14103515446186066,0.13157930970191956,350M
0.12816654331982136,Git.,0.13449814915657043,0.11048159748315811,0.14062246680259705,0.12706395983695984,350M
0.12767957895994186,Git.,0.13134758174419403,0.10978120565414429,0.14382758736610413,0.125761941075325,350M
0.12644883804023266,Git.,0.12945322692394257,0.11186941713094711,0.13921816647052765,0.1252545416355133,350M
0.12887948006391525,Git.,0.1314813792705536,0.11158692836761475,0.1433710753917694,0.12907853722572327,350M
0.12647616490721703,Git.,0.1284080594778061,0.10278035700321198,0.14466561377048492,0.1300506293773651,350M
0.1253152135759592,Git.,0.12608614563941956,0.11258025467395782,0.13913485407829285,0.1234595999121666,350M
0.12286013923585415,Git.,0.12552304565906525,0.10332081466913223,0.13609017431735992,0.1265065222978592,350M
